Gene Name,SynH_Exp_BXHU,SynH_Stat1_CUOC,log2change,counts_change,binned,Threshold where |count difference| is,Threshold of 2^n where n is
sokX,1,1,0.0,0,Unchanged,100000,1
sokE,1,1,0.0,0,Unchanged,100000,1
fnrS,1,2,1.0,1,Unchanged,100000,1
mgrR,1,1,0.0,0,Unchanged,100000,1
yrdF,2,5,1.3219280948873624,3,Upregulated,100000,1
yneO,1069,5385,2.3326844917110794,4316,Upregulated,100000,1
aaaE,138,1397,3.339591848631294,1259,Upregulated,100000,1
oweE,13,123,3.2420747871981477,110,Upregulated,100000,1
sroH,2,16,3.0,14,Upregulated,100000,1
eyeA,1,1,0.0,0,Unchanged,100000,1
rzoQ,2,22,3.4594316186372973,20,Upregulated,100000,1
ykgS,29,83,1.5170584362193527,54,Upregulated,100000,1
shoB,1,1,0.0,0,Unchanged,100000,1
yshB,4,2,-1.0,-2,Downregulated,100000,1
yrbN,1,1,0.0,0,Unchanged,100000,1
yqfG,1,1,0.0,0,Unchanged,100000,1
yqeL,1,1,0.0,0,Unchanged,100000,1
yqcG,1,1,0.0,0,Unchanged,100000,1
ypdK,1,1,0.0,0,Unchanged,100000,1
yohP,1,1,0.0,0,Unchanged,100000,1
yoeI,1,1,0.0,0,Unchanged,100000,1
yobI,1,1,0.0,0,Unchanged,100000,1
yoaK,1,1,0.0,0,Unchanged,100000,1
yoaJ,1,1,0.0,0,Unchanged,100000,1
ynbG,1,1,0.0,0,Unchanged,100000,1
ymjD,1,1,0.0,0,Unchanged,100000,1
ymiB,1,1,0.0,0,Unchanged,100000,1
ykgR,1,1,0.0,0,Unchanged,100000,1
yjeV,1,1,0.0,0,Unchanged,100000,1
ilvX,1,1,0.0,0,Unchanged,100000,1
ibsB,1,1,0.0,0,Unchanged,100000,1
ibsA,1,1,0.0,0,Unchanged,100000,1
ibsE,1,1,0.0,0,Unchanged,100000,1
ibsC,1,1,0.0,0,Unchanged,100000,1
ibsD,1,1,0.0,0,Unchanged,100000,1
azuC,1,1,0.0,0,Unchanged,100000,1
sgrT,5,10,1.0,5,Unchanged,100000,1
yfcU,353,3690,3.385880727676578,3337,Upregulated,100000,1
yhiL,32,433,3.758223214726725,401,Upregulated,100000,1
yghX,317,1052,1.730579959152895,735,Upregulated,100000,1
yjhZ,2,70,5.129283016944966,68,Upregulated,100000,1
yjhY,311,271,-0.19862172877673107,-40,Unchanged,100000,1
ythA,1,1,0.0,0,Unchanged,100000,1
yjdQ,1,12,3.584962500721156,11,Upregulated,100000,1
yicT,1,8,3.0,7,Upregulated,100000,1
yibU,1,47,5.554588851677638,46,Upregulated,100000,1
yibW,3,83,4.7900769306257684,80,Upregulated,100000,1
yibS,3,105,5.129283016944966,102,Upregulated,100000,1
ysaD,1,79,6.303780748177103,78,Upregulated,100000,1
ysaC,1,1,0.0,0,Unchanged,100000,1
mokA,1,15,3.9068905956085187,14,Upregulated,100000,1
yrdE,18,203,3.495410915742864,185,Upregulated,100000,1
psaA,1,1,0.0,0,Unchanged,100000,1
ypjI,5,176,5.137503523749935,171,Upregulated,100000,1
pawZ,1,1,0.0,0,Unchanged,100000,1
yoeD,1,4,2.0,3,Upregulated,100000,1
yoeH,27,18,-0.5849625007211563,-9,Unchanged,100000,1
yoeG,160,321,1.0045013922349408,161,Upregulated,100000,1
yeeH,1,1,0.0,0,Unchanged,100000,1
ttcC,1,1,0.0,0,Unchanged,100000,1
uof,1,1,0.0,0,Unchanged,100000,1
ybfI,1,14,3.807354922057604,13,Upregulated,100000,1
aaaD,6,264,5.459431618637297,258,Upregulated,100000,1
xisD,77,169,1.1340928955872829,92,Upregulated,100000,1
ylbI,1,1,0.0,0,Unchanged,100000,1
ykgQ,1,1,0.0,0,Unchanged,100000,1
ykgP,1,1,0.0,0,Unchanged,100000,1
ykfK,2,92,5.523561956057013,90,Upregulated,100000,1
ykfL,8,186,4.539158811108031,178,Upregulated,100000,1
ykfN,1,1,0.0,0,Unchanged,100000,1
symR,1,1,0.0,0,Unchanged,100000,1
ryjB,1,1,0.0,0,Unchanged,100000,1
insO,334,3978,3.5741232683596915,3644,Upregulated,100000,1
ytcA,1,290,8.179909090014934,289,Upregulated,100000,1
yjbS,1,7,2.807354922057604,6,Upregulated,100000,1
yjbT,8,164,4.357552004618084,156,Upregulated,100000,1
tisB,1,1,0.0,0,Unchanged,100000,1
istR,1,21,4.392317422778761,20,Upregulated,100000,1
yibV,3,94,4.9696263509564815,91,Upregulated,100000,1
sokA,1,1,0.0,0,Unchanged,100000,1
dinQ,2,7,1.8073549220576042,5,Upregulated,100000,1
yrhD,1,2,1.0,1,Unchanged,100000,1
sibE,3,3,0.0,0,Unchanged,100000,1
ryfD,13,3,-2.115477217419936,-10,Downregulated,100000,1
ohsC,1,1,0.0,0,Unchanged,100000,1
ypfM,1,1,0.0,0,Unchanged,100000,1
yojO,1,13,3.700439718141092,12,Upregulated,100000,1
rseX,1,1,0.0,0,Unchanged,100000,1
cydH,1,1,0.0,0,Unchanged,100000,1
ydgU,1,1,0.0,0,Unchanged,100000,1
mgtS,1,1,0.0,0,Unchanged,100000,1
yncL,1,1,0.0,0,Unchanged,100000,1
rydC,1,1,0.0,0,Unchanged,100000,1
yciZ,212,57,-1.8950304403984575,-155,Downregulated,100000,1
yciY,161,39,-2.0455146592523685,-122,Downregulated,100000,1
ymgJ,6,8,0.41503749927884376,2,Unchanged,100000,1
ymgI,1,3,1.584962500721156,2,Upregulated,100000,1
appX,1,1,0.0,0,Unchanged,100000,1
ybfK,1,97,6.599912842187128,96,Upregulated,100000,1
ylcI,30,66,1.1375035237499351,36,Upregulated,100000,1
ylcH,1,3,1.584962500721156,2,Upregulated,100000,1
insN,1725,3383,0.9717068152410945,1658,Unchanged,100000,1
ykfM,6,7,0.22239242133644802,1,Unchanged,100000,1
chiX,1,1,0.0,0,Unchanged,100000,1
yoeA,384,2481,2.6917435191712746,2097,Upregulated,100000,1
ybeM,368,1091,1.5678734302665942,723,Upregulated,100000,1
yaiT,548,5158,3.234563974828687,4610,Upregulated,100000,1
yncK,14,232,4.050626073069968,218,Upregulated,100000,1
sgrS,52,86,0.7258250365610057,34,Unchanged,100000,1
insB7,37,824,4.477047161554268,787,Upregulated,100000,1
yjgX,499,1673,1.745325724701092,1174,Upregulated,100000,1
insZ,103,1383,3.7470849139672757,1280,Upregulated,100000,1
ylbE,82,3030,5.20755007374223,2948,Upregulated,100000,1
lomR,148,2885,4.284902237903895,2737,Upregulated,100000,1
yhcE,1924,8506,2.144372055855722,6582,Upregulated,100000,1
ytjA,336,72,-2.222392421336448,-264,Downregulated,100000,1
yjjZ,6,136,4.502500340529183,130,Upregulated,100000,1
topAI,23,98,2.0911478880581953,75,Upregulated,100000,1
sgcB,7,172,4.618909832644494,165,Upregulated,100000,1
insM,19,45,1.2439255828860891,26,Upregulated,100000,1
ghoT,2,6,1.584962500721156,4,Upregulated,100000,1
yifL,297,143,-1.0544477840223765,-154,Downregulated,100000,1
yidD,474,222,-1.0943273825481532,-252,Downregulated,100000,1
ysdC,69,1626,4.558587085296859,1557,Upregulated,100000,1
yicS,31,198,2.6751603096927346,167,Upregulated,100000,1
yibT,231,122,-0.9210117038531713,-109,Unchanged,100000,1
ysaB,34,230,2.7580272096940357,196,Upregulated,100000,1
yrhC,7,137,4.290677160902923,130,Upregulated,100000,1
yheV,29,32,0.14201900487242786,3,Unchanged,100000,1
arfA,59,39,-0.5972408304995929,-20,Unchanged,100000,1
ypjJ,1,78,6.285402218862249,77,Upregulated,100000,1
ypfN,80,151,0.9164766444377165,71,Unchanged,100000,1
ypeB,91,111,0.28662122615140984,20,Unchanged,100000,1
ypdJ,1,1,0.0,0,Unchanged,100000,1
arnE,34,305,3.1652025911999093,271,Upregulated,100000,1
ypaA,50,53,0.08406426478847455,3,Unchanged,100000,1
yohO,1,1,0.0,0,Unchanged,100000,1
yehK,1,94,6.554588851677638,93,Upregulated,100000,1
yoeB,153,170,0.15200309344505006,17,Unchanged,100000,1
yoeF,1,10,3.321928094887362,9,Upregulated,100000,1
yecJ,185,148,-0.3219280948873623,-37,Unchanged,100000,1
yobH,203,65,-1.6429681041567217,-138,Downregulated,100000,1
yniD,1,2,1.0,1,Unchanged,100000,1
ynfO,16,90,2.4918530963296748,74,Upregulated,100000,1
hicA,39,37,-0.07594885323329863,-2,Unchanged,100000,1
